number_sweeps,acc_prob_mean,acc_prob_std,acc_prob_median,acc_prob_min,acc_prob_max,overlap_prob_mean,overlap_prob_std,overlap_prob_median,overlap_prob_min,overlap_prob_max,residual_prob_mean,residual_prob_std,residual_prob_median,residual_prob_min,residual_prob_max
100,0.62763671875,0.009254700986873931,0.62939453125,0.6123046875,0.638671875,0.7056640625,0.011196023943723838,0.70263671875,0.6923828125,0.7265625,0.62763671875,0.009254700986873931,0.62939453125,0.6123046875,0.638671875
200,0.81005859375,0.008867381089571786,0.81201171875,0.791015625,0.8212890625,0.60888671875,0.013356076552782597,0.60693359375,0.5927734375,0.634765625,0.81005859375,0.008867381089571786,0.81201171875,0.791015625,0.8212890625
400,0.935546875,0.004538652358836817,0.935546875,0.92578125,0.9443359375,0.55302734375,0.018394922783314463,0.55712890625,0.51953125,0.583984375,0.935546875,0.004538652358836817,0.935546875,0.92578125,0.9443359375
800,0.9759765625,0.003787249888606507,0.97607421875,0.9716796875,0.9833984375,0.540234375,0.019921875,0.54052734375,0.501953125,0.5703125,0.9759765625,0.003787249888606507,0.97607421875,0.9716796875,0.9833984375
1600,0.9955078125,0.001324673824829154,0.99609375,0.9931640625,0.9970703125,0.51640625,0.014404214115228353,0.51708984375,0.48828125,0.5380859375,0.9955078125,0.001324673824829154,0.99609375,0.9931640625,0.9970703125
3200,0.99951171875,0.0006550980402831415,1.0,0.998046875,1.0,0.52919921875,0.016436739247634446,0.53076171875,0.4970703125,0.5546875,0.99951171875,0.0006550980402831415,1.0,0.998046875,1.0
6400,1.0,0.0,1.0,1.0,1.0,0.51640625,0.010240411506967445,0.51953125,0.49609375,0.5302734375,1.0,0.0,1.0,1.0,1.0
12800,1.0,0.0,1.0,1.0,1.0,0.523046875,0.016562453935667073,0.52294921875,0.49609375,0.5537109375,1.0,0.0,1.0,1.0,1.0
25600,1.0,0.0,1.0,1.0,1.0,0.5236328125,0.012820893306465866,0.52490234375,0.501953125,0.5380859375,1.0,0.0,1.0,1.0,1.0
51200,1.0,0.0,1.0,1.0,1.0,0.53310546875,0.015821819469121638,0.53369140625,0.5107421875,0.560546875,1.0,0.0,1.0,1.0,1.0
102400,1.0,0.0,1.0,1.0,1.0,0.51494140625,0.008897443734291485,0.51318359375,0.4970703125,0.52734375,1.0,0.0,1.0,1.0,1.0
204800,1.0,0.0,1.0,1.0,1.0,0.5201171875,0.015268141664994588,0.5224609375,0.4931640625,0.541015625,1.0,0.0,1.0,1.0,1.0
