number_sweeps,acc_prob_mean,acc_prob_std,acc_prob_median,acc_prob_min,acc_prob_max,overlap_prob_mean,overlap_prob_std,overlap_prob_median,overlap_prob_min,overlap_prob_max,residual_prob_mean,residual_prob_std,residual_prob_median,residual_prob_min,residual_prob_max
100,0.72216796875,0.010447393240071674,0.71826171875,0.7080078125,0.7421875,1.0,0.0,1.0,1.0,1.0,0.72216796875,0.010447393240071674,0.71826171875,0.7080078125,0.7421875
200,0.8162109375,0.011055446639128833,0.81787109375,0.7958984375,0.83203125,0.9998046875,0.000390625,1.0,0.9990234375,1.0,0.8162109375,0.011055446639128833,0.81787109375,0.7958984375,0.83203125
400,0.85478515625,0.010130394522844435,0.85302734375,0.8369140625,0.87109375,0.99990234375,0.00029296875000000004,1.0,0.9990234375,1.0,0.85478515625,0.010130394522844435,0.85302734375,0.8369140625,0.87109375
800,0.8681640625,0.008799906504741257,0.87158203125,0.8486328125,0.8779296875,1.0,0.0,1.0,1.0,1.0,0.8681640625,0.008799906504741257,0.87158203125,0.8486328125,0.8779296875
1600,0.87099609375,0.014315553564306869,0.86767578125,0.8544921875,0.9013671875,1.0,0.0,1.0,1.0,1.0,0.87099609375,0.014315553564306869,0.86767578125,0.8544921875,0.9013671875
3200,0.8939453125,0.0066262482240966305,0.8955078125,0.884765625,0.9033203125,1.0,0.0,1.0,1.0,1.0,0.8939453125,0.0066262482240966305,0.8955078125,0.884765625,0.9033203125
6400,0.91923828125,0.007360586791488778,0.9189453125,0.908203125,0.9326171875,1.0,0.0,1.0,1.0,1.0,0.91923828125,0.007360586791488778,0.9189453125,0.908203125,0.9326171875
12800,0.95078125,0.009738242861185867,0.94921875,0.9345703125,0.9677734375,1.0,0.0,1.0,1.0,1.0,0.95078125,0.009738242861185867,0.94921875,0.9345703125,0.9677734375
25600,0.982421875,0.0034388314182927752,0.9833984375,0.9755859375,0.98828125,1.0,0.0,1.0,1.0,1.0,0.982421875,0.0034388314182927752,0.9833984375,0.9755859375,0.98828125
51200,0.99580078125,0.0006253051013118017,0.99609375,0.9951171875,0.9970703125,1.0,0.0,1.0,1.0,1.0,0.99580078125,0.0006253051013118017,0.99609375,0.9951171875,0.9970703125
102400,0.9986328125,0.000647778279366289,0.99853515625,0.998046875,1.0,1.0,0.0,1.0,1.0,1.0,0.9986328125,0.000647778279366289,0.99853515625,0.998046875,1.0
204800,0.99970703125,0.0004475171577105313,1.0,0.9990234375,1.0,1.0,0.0,1.0,1.0,1.0,0.99970703125,0.0004475171577105313,1.0,0.9990234375,1.0
