number_sweeps,acc_prob_mean,acc_prob_std,acc_prob_median,acc_prob_min,acc_prob_max,overlap_prob_mean,overlap_prob_std,overlap_prob_median,overlap_prob_min,overlap_prob_max,residual_prob_mean,residual_prob_std,residual_prob_median,residual_prob_min,residual_prob_max
100,0.36884765625,0.014900500582280417,0.3671875,0.345703125,0.390625,1.0,0.0,1.0,1.0,1.0,0.36884765625,0.014900500582280417,0.3671875,0.345703125,0.390625
200,0.50869140625,0.018339885350059315,0.50439453125,0.474609375,0.533203125,1.0,0.0,1.0,1.0,1.0,0.50869140625,0.018339885350059315,0.50439453125,0.474609375,0.533203125
400,0.64296875,0.015741751312195223,0.64306640625,0.6123046875,0.6689453125,1.0,0.0,1.0,1.0,1.0,0.64296875,0.015741751312195223,0.64306640625,0.6123046875,0.6689453125
800,0.6986328125,0.006376885827075979,0.697265625,0.6884765625,0.7119140625,0.9998046875,0.000390625,1.0,0.9990234375,1.0,0.6986328125,0.006376885827075979,0.697265625,0.6884765625,0.7119140625
1600,0.73203125,0.01115335276192909,0.73046875,0.716796875,0.7509765625,0.9990234375,0.0014484762670108717,0.99951171875,0.9951171875,1.0,0.73203125,0.01115335276192909,0.73046875,0.716796875,0.7509765625
3200,0.7658203125,0.0132668810138607,0.76416015625,0.744140625,0.78515625,0.9939453125,0.000956831930774679,0.994140625,0.9921875,0.9951171875,0.7658203125,0.0132668810138607,0.76416015625,0.744140625,0.78515625
6400,0.809765625,0.012085725394066393,0.81298828125,0.7919921875,0.8291015625,0.9896484375,0.0032447749464523733,0.9892578125,0.984375,0.994140625,0.809765625,0.012085725394066393,0.81298828125,0.7919921875,0.8291015625
12800,0.88505859375,0.007602775829746843,0.8837890625,0.8720703125,0.8974609375,0.98623046875,0.002944299498375261,0.98681640625,0.98046875,0.990234375,0.88505859375,0.007602775829746843,0.8837890625,0.8720703125,0.8974609375
25600,0.95205078125,0.007391616980533694,0.9521484375,0.9384765625,0.9619140625,0.9908203125,0.004078244730043183,0.990234375,0.9833984375,0.99609375,0.95205078125,0.007391616980533694,0.9521484375,0.9384765625,0.9619140625
51200,0.9876953125,0.002870495792324037,0.9873046875,0.984375,0.9931640625,0.99794921875,0.0014118000287891563,0.99755859375,0.99609375,1.0,0.9876953125,0.002870495792324037,0.9873046875,0.984375,0.9931640625
102400,0.9986328125,0.0010874539771152387,0.99853515625,0.9970703125,1.0,0.9994140625,0.0007812499999999999,1.0,0.998046875,1.0,0.9986328125,0.0010874539771152387,0.99853515625,0.9970703125,1.0
204800,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
